forecast_date,target,target_end_date,location,type,quantile,value
2021-01-31,1 wk ahead cum death,2021-02-06,53,point,NA,4470.0
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.01,4422.4295871
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.025,4422.4383543
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.05,4422.4751598
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.1,4423.5615716
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.15,4425.1349813
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.2,4434.9817457
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.25,4442.2473823
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.3,4442.9973892
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.35,4444.9858092
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.4,4459.002125600001
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.45,4468.2748029
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.5,4470.0
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.55,4472.565003100001
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.6,4482.8057694
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.65,4492.6321177
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.7,4493.6649503
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.75,4493.761322500001
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.8,4498.5675274
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.85,4503.1233069
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.9,4506.3862026
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.95,4510.420838100002
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.975,4514.4939605
2021-01-31,1 wk ahead cum death,2021-02-06,53,quantile,0.99,4514.542971800001
2021-01-31,1 wk ahead cum death,2021-02-06,17,point,NA,21759.0
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.01,21646.7980763
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.025,21646.8448663
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.05,21646.9027946
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.1,21647.2360528
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.15,21647.4312053
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.2,21652.697773900003
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.25,21656.8598774
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.3,21657.4252468
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.35,21659.5106206
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.4,21706.3127492
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.45,21752.646873700003
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.5,21759.0
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.55,21763.0074135
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.6,21776.7002751
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.65,21793.1390478
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.7,21796.2502245
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.75,21801.771480900006
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.8,21833.3350635
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.85,21861.6437323
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.9,21869.3122277
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.95,21875.5411317
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.975,21878.8269138
2021-01-31,1 wk ahead cum death,2021-02-06,17,quantile,0.99,21879.2536237
2021-01-31,1 wk ahead cum death,2021-02-06,06,point,NA,44181.0
2021-01-31,1 wk ahead cum death,2021-02-06,06,quantile,0.01,43502.03564800001
2021-01-31,1 wk ahead cum death,2021-02-06,06,quantile,0.025,43502.410619
2021-01-31,1 wk ahead cum death,2021-02-06,06,quantile,0.05,43521.887352
2021-01-31,1 wk ahead cum death,2021-02-06,06,quantile,0.1,43524.125053
2021-01-31,1 wk ahead cum death,2021-02-06,06,quantile,0.15,43583.832448
2021-01-31,1 wk ahead cum death,2021-02-06,06,quantile,0.2,43763.225754
