forecast_date,target,target_end_date,location,type,quantile,value
2021-02-07,1 wk ahead cum death,2021-02-13,53,point,NA,4590.0
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.01,4564.794705300001
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.025,4564.8106346
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.05,4565.339993899999
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.1,4565.776876
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.15,4568.068113699999
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.2,4572.9779663
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.25,4578.0270041
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.3,4578.7000083
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.35,4579.9142579
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.4,4584.091120100001
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.45,4588.1213169
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.5,4590.0
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.55,4590.94279
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.6,4596.7765181
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.65,4602.8702717
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.7,4603.790507399999
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.75,4606.0381765
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.8,4619.1128616000005
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.85,4630.1536073
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.9,4630.8813869
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.95,4634.6982422
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.975,4638.1610752
2021-02-07,1 wk ahead cum death,2021-02-13,53,quantile,0.99,4638.2338664
2021-02-07,1 wk ahead cum death,2021-02-13,17,point,NA,22096.0
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.01,22053.167980500002
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.025,22053.2222929
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.05,22053.263051299997
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.1,22056.0990873
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.15,22057.1846983
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.2,22074.1465467
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.25,22087.3868509
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.3,22087.515100999997
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.35,22089.0330212
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.4,22091.882715
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.45,22094.8286298
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.5,22096.0
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.55,22104.2547999
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.6,22140.5680697
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.65,22175.0941688
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.7,22179.1050776
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.75,22180.640420099997
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.8,22227.166424000003
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.85,22261.2074925
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.9,22266.0488312
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.95,22267.9020553
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.975,22282.809097
2021-02-07,1 wk ahead cum death,2021-02-13,17,quantile,0.99,22283.095417099998
2021-02-07,1 wk ahead cum death,2021-02-13,06,point,NA,46841.0
2021-02-07,1 wk ahead cum death,2021-02-13,06,quantile,0.01,46623.4105
